x,y,z,cos_alpha,cos_beta
-1.647508942050615,-0.6069769786502346,-0.2314550249324616,1.0,1.0
-1.647508942050615,-0.6069769786502346,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-0.6069769786502346,0.23145502493239348,1.0,1.0
-1.647508942050615,-0.6069769786502346,0.46291004986482037,1.0,1.0
-1.647508942050615,-0.6069769786502346,0.694365074797248,1.0,1.0
-1.647508942050615,-0.6069769786502346,0.9258200997296748,1.0,1.0
-1.647508942050615,-0.6069769786502346,1.1572751246621023,1.0,1.0
-1.647508942050615,-0.6069769786502346,1.38873014959453,1.0,1.0
-1.647508942050615,-0.6069769786502346,1.6201851745269573,1.0,1.0
-1.647508942050615,-0.43355498475016757,-1.6201851745270255,1.0,1.0
-1.647508942050615,-0.43355498475016757,-1.388730149594598,1.0,1.0
-1.647508942050615,-0.43355498475016757,-1.157275124662171,1.0,1.0
-1.647508942050615,-0.43355498475016757,-0.9258200997297436,1.0,1.0
-1.647508942050615,-0.43355498475016757,-0.694365074797316,1.0,1.0
-1.647508942050615,-0.43355498475016757,-0.4629100498648891,1.0,1.0
-1.647508942050615,-0.43355498475016757,-0.2314550249324616,1.0,1.0
-1.647508942050615,-0.43355498475016757,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-0.43355498475016757,0.23145502493239348,1.0,1.0
-1.647508942050615,-0.43355498475016757,0.46291004986482037,1.0,1.0
-1.647508942050615,-0.43355498475016757,0.694365074797248,1.0,1.0
-1.647508942050615,-0.43355498475016757,0.9258200997296748,1.0,1.0
-1.647508942050615,-0.43355498475016757,1.1572751246621023,1.0,1.0
-1.647508942050615,-0.43355498475016757,1.38873014959453,1.0,1.0
-1.647508942050615,-0.43355498475016757,1.6201851745269573,1.0,1.0
-1.647508942050615,-0.26013299085010355,-1.6201851745270255,1.0,1.0
-1.647508942050615,-0.26013299085010355,-1.388730149594598,1.0,1.0
-1.647508942050615,-0.26013299085010355,-1.157275124662171,1.0,1.0
-1.647508942050615,-0.26013299085010355,-0.9258200997297436,1.0,1.0
-1.647508942050615,-0.26013299085010355,-0.694365074797316,1.0,1.0
-1.647508942050615,-0.26013299085010355,-0.4629100498648891,1.0,1.0
-1.647508942050615,-0.26013299085010355,-0.2314550249324616,1.0,1.0
-1.647508942050615,-0.26013299085010355,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-0.26013299085010355,0.23145502493239348,1.0,1.0
-1.647508942050615,-0.26013299085010355,0.46291004986482037,1.0,1.0
-1.647508942050615,-0.26013299085010355,0.694365074797248,1.0,1.0
-1.647508942050615,-0.26013299085010355,0.9258200997296748,1.0,1.0
-1.647508942050615,-0.26013299085010355,1.1572751246621023,1.0,1.0
-1.647508942050615,-0.26013299085010355,1.38873014959453,1.0,1.0
-1.647508942050615,-0.26013299085010355,1.6201851745269573,1.0,1.0
-1.647508942050615,-0.0867109969500396,-1.6201851745270255,1.0,1.0
-1.647508942050615,-0.0867109969500396,-1.388730149594598,1.0,1.0
-1.647508942050615,-0.0867109969500396,-1.157275124662171,1.0,1.0
-1.647508942050615,-0.0867109969500396,-0.9258200997297436,1.0,1.0
-1.647508942050615,-0.0867109969500396,-0.694365074797316,1.0,1.0
-1.647508942050615,-0.0867109969500396,-0.4629100498648891,1.0,1.0
-1.647508942050615,-0.0867109969500396,-0.2314550249324616,1.0,1.0
-1.647508942050615,-0.0867109969500396,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,-0.0867109969500396,0.23145502493239348,1.0,1.0
-1.647508942050615,-0.0867109969500396,0.46291004986482037,1.0,1.0
-1.647508942050615,-0.0867109969500396,0.694365074797248,1.0,1.0
-1.647508942050615,-0.0867109969500396,0.9258200997296748,1.0,1.0
-1.647508942050615,-0.0867109969500396,1.1572751246621023,1.0,1.0
-1.647508942050615,-0.0867109969500396,1.38873014959453,1.0,1.0
-1.647508942050615,-0.0867109969500396,1.6201851745269573,1.0,1.0
-1.647508942050615,0.08671099695002742,-1.6201851745270255,1.0,1.0
-1.647508942050615,0.08671099695002742,-1.388730149594598,1.0,1.0
-1.647508942050615,0.08671099695002742,-1.157275124662171,1.0,1.0
-1.647508942050615,0.08671099695002742,-0.9258200997297436,1.0,1.0
-1.647508942050615,0.08671099695002742,-0.694365074797316,1.0,1.0
-1.647508942050615,0.08671099695002742,-0.4629100498648891,1.0,1.0
-1.647508942050615,0.08671099695002742,-0.2314550249324616,1.0,1.0
-1.647508942050615,0.08671099695002742,-3.404808746448509e-14,1.0,1.0
-1.647508942050615,0.08671099695002742,0.23145502493239348,1.0,1.0
-1.647508942050615,0.08671099695002742,0.46291004986482037,1.0,1.0
-1.647508942050615,0.08671099695002742,0.694365074797248,1.0,1.0
-1.647508942050615,0.08671099695002742,0.9258200997296748,1.0,1.0
-1.647508942050615,0.08671099695002742,1.1572751246621023,1.0,1.0
-1.647508942050615,0.08671099695002742,1.38873014959453,1.0,1.0
-1.647508942050615,0.08671099695002742,1.6201851745269573,1.0,1.0
-1.647508942050615,0.2601329908500914,-1.6201851745270255,1.0,1.0
-1.647508942050615,0.2601329908500914,-1.388730149594598,1.0,1.0
